Class,Accuracy,Precision,Recall,F1-Score
agricultural,1.0,1.0,1.0,1.0
airplane,1.0,1.0,1.0,1.0
baseballdiamond,1.0,1.0,1.0,1.0
beach,1.0,1.0,1.0,1.0
buildings,1.0,0.9524,1.0,0.9756
chaparral,1.0,1.0,1.0,1.0
denseresidential,1.0,0.9091,1.0,0.9524
forest,1.0,1.0,1.0,1.0
freeway,0.9,1.0,0.9,0.9474
golfcourse,1.0,1.0,1.0,1.0
harbor,1.0,1.0,1.0,1.0
intersection,1.0,0.9524,1.0,0.9756
mediumresidential,0.95,0.95,0.95,0.95
mobilehomepark,0.9,1.0,0.9,0.9474
overpass,0.95,0.9048,0.95,0.9268
parkinglot,1.0,1.0,1.0,1.0
river,1.0,1.0,1.0,1.0
runway,1.0,1.0,1.0,1.0
sparseresidential,0.95,1.0,0.95,0.9744
storagetanks,1.0,0.9524,1.0,0.9756
tenniscourt,0.9,0.9474,0.9,0.9231
